1;Алабинская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.509, "name": "Алабинская", "lat": 53.209689, "lng": 50.134417}
2;Российская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.307, "name": "Российская", "lat": 53.211385, "lng": 50.15022}
3;Московская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.308, "name": "Московская", "double": "true", "lat": 53.203791, "lng": 50.159832}
4;Гагаринская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.309, "name": "Гагаринская", "double": "true", "lat": 53.200442, "lng": 50.176595}
5;Спортивная;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.310, "name": "Спортивная", "double": "true", "lat": 53.201121, "lng": 50.199286}
6;Советская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.311, "name": "Советская", "double": "true", "lat": 53.201736, "lng": 50.220657}
7;Победа;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.312, "name": "Победа", "lat": 53.207313, "lng": 50.236414}
8;Безымянка;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.313, "name": "Безымянка", "lat": 53.212997, "lng": 50.248891}
9;Кировская;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.314, "name": "Кировская", "double": "true", "lat": 53.211352, "lng": 50.269777}
10;Юнгородок;{"city": "Самара", "line": {"id": 54, "name": "Первая", "hex-color": "CD0505"}, "id": 54.315, "name": "Юнгородок", "lat": 53.212701, "lng": 50.282982}
11;Холодная гора;{"city": "Харьков", "line": {"id": 59, "name": "Холодногорско-Заводская", "hex-color": "CD0505"}, "id": 59.373, "name": "Холодная гора", "lat": 49.982512, "lng": 36.181804}
